YEAR;MONTH;INPC
2015;MAR;1,51
2015;ABR;0,71
2015;MAI;0,99
2015;JUN;0,77
2015;JUL;0,58
2015;AGO;0,25
2015;SET;0,51
2015;OUT;0,77
2015;NOV;1,11
2015;DEZ;0,9
2016;JAN;1,51
2016;FEV;0,95
2016;MAR;0,44
2016;ABR;0,64
2016;MAI;0,98
2016;JUN;0,47
2016;JUL;0,64
2016;AGO;0,31
2016;SET;0,08
2016;OUT;0,17
2016;NOV;0,07
2016;DEZ;0,14
2017;JAN;0,42
2017;FEV;0,24
2017;MAR;0,32
2017;ABR;0,08
2017;MAI;0,36
2017;JUN;-0,3
2017;JUL;0,17
2017;AGO;-0,03
2017;SET;-0,02
2017;OUT;0,37
2017;NOV;0,18
2017;DEZ;0,26
2018;JAN;0,23
2018;FEV;0,18
2018;MAR;0,07
2018;ABR;0,21
2018;MAI;0,43
2018;JUN;1,43
2018;JUL;0,25
2018;AGO;0
2018;SET;0,3
2018;OUT;0,4
2018;NOV;-0,25
2018;DEZ;0,14
2019;JAN;0,36
2019;FEV;0,54
2019;MAR;0,77
2019;ABR;0,6
2019;MAI;0,15
2019;JUN;0,01
2019;JUL;0,1
2019;AGO;0,12
2019;SET;-0,05
2019;OUT;0,04
2019;NOV;0,54
2019;DEZ;1,22
2020;JAN;0,19
2020;FEV;0,17
2020;MAR;0,18
2020;ABR;-0,23
2020;MAI;-0,25
2020;JUN;0,3
2020;JUL;0,44
2020;AGO;0,36
2020;SET;0,87
2020;OUT;0,89
2020;NOV;0,95
2020;DEZ;1,46
2021;JAN;0,27
2021;FEV;0,82
2021;MAR;0,86
2021;ABR;0,38
2021;MAI;0,96
2021;JUN;0,6
2021;JUL;1,02
2021;AGO;0,88
2021;SET;1,2
2021;OUT;1,16
2021;NOV;0,84
2021;DEZ;0,73
2022;JAN;0,67
2022;FEV;1
2022;MAR;1,71
2022;ABR;1,04
2022;MAI;0,45
2022;JUN;0,62
2022;JUL;-0,6
2022;AGO;-0,31
2022;SET;-0,32
2022;OUT;0,47
2022;NOV;0,38
2022;DEZ;0,69
2023;JAN;0,46
2023;FEV;0,77
2023;MAR;0,64
2023;ABR;0,53
2023;MAI;0,36
